drop_metric,assumption,air_main_norm,rank
none,Variogram tuning,0.5759197656635074,1
none,Trend handling,0.2658905622872667,2
none,Domain definition,0.14998130485174302,3
none,Neighborhood,0.006119074969035466,4
none,Top-cut policy,0.002089292228447375,5
Swath X,Variogram tuning,0.6010408055950799,1
Swath X,Trend handling,0.22295572994277152,2
Swath X,Domain definition,0.16677020250729363,3
Swath X,Neighborhood,0.00706900950399491,4
Swath X,Top-cut policy,0.0021642524508600574,5
Swath Y,Variogram tuning,0.5947299899483345,1
Swath Y,Trend handling,0.2623698079598178,2
Swath Y,Domain definition,0.13695505913423273,3
Swath Y,Neighborhood,0.0044514444625741185,4
Swath Y,Top-cut policy,0.0014936984950409168,5
Swath Z,Variogram tuning,0.6732332704527519,1
Swath Z,Trend handling,0.23785508085363347,2
Swath Z,Domain definition,0.08001624409528252,3
Swath Z,Neighborhood,0.007074254721427083,4
Swath Z,Top-cut policy,0.001821149876904949,5
Risk width at 3% cutoff,Trend handling,0.4218245389865718,1
Risk width at 3% cutoff,Domain definition,0.30042447308855397,2
Risk width at 3% cutoff,Variogram tuning,0.2675411202491011,3
Risk width at 3% cutoff,Neighborhood,0.00622572196233454,4
Risk width at 3% cutoff,Top-cut policy,0.003984145713438642,5
