assumption,diagnostic_or_decision_metric,normalized_contribution_raw,normalized_contribution
Domain definition,Histogram overlap,0.004228188100325214,0.001507846950194769
Domain definition,Q-Q RMSE,0.007961245760337264,0.0028391215940824052
Domain definition,Swath X,0.046753738673325884,0.016673213347191268
Domain definition,Swath Y,0.04573906432171182,0.016311362457349248
Domain definition,Swath Z,0.2078338163014146,0.07411722908763778
Domain definition,Risk width at 3% cutoff,0.08152649999999984,0.02907379744425239
Variogram tuning,Histogram overlap,0.004470998312512298,0.0015944373830788401
Variogram tuning,Q-Q RMSE,0.008301888415654539,0.0029606008132512245
Variogram tuning,Swath X,0.2585943085798069,0.09221932191233305
Variogram tuning,Swath Y,0.006712700490348,0.0023938681822513156
Variogram tuning,Swath Z,0.002146968101385316,0.0007656469454588132
Variogram tuning,Risk width at 3% cutoff,1.1988405000000002,0.4275278083195812
Neighborhood,Histogram overlap,0.0016430360660364407,0.0005859358340851732
Neighborhood,Q-Q RMSE,0.0009562381058823496,0.0003410114870489848
Neighborhood,Swath X,0.0013750936922889423,0.000490382826154415
Neighborhood,Swath Y,0.004654493295375595,0.0016598749520141442
Neighborhood,Swath Z,0.00019410714219597613,6.922205337759524e-05
Neighborhood,Risk width at 3% cutoff,0.00935549999999985,0.0033363374116354735
Trend handling,Histogram overlap,0.004948574618390267,0.0017647495733638446
Trend handling,Q-Q RMSE,0.014103874114608221,0.005029691930689467
Trend handling,Swath X,0.2289629825364211,0.08165226492607702
Trend handling,Swath Y,0.03305267399006051,0.011787170411803901
Trend handling,Swath Z,0.15967148642734671,0.05694168710801252
Trend handling,Risk width at 3% cutoff,0.2552714999999999,0.09103434937462648
Top-cut policy,Histogram overlap,0.0011468871308217832,0.0004090003144122756
Top-cut policy,Q-Q RMSE,0.010357146429186524,0.0036935423130225334
Top-cut policy,Swath X,0.0009706115694161355,0.00034613731935324957
Top-cut policy,Swath Y,0.0016535246215445554,0.0005896762392089761
Top-cut policy,Swath Z,0.0013587118127331155,0.0004845407570362479
Top-cut policy,Risk width at 3% cutoff,0.0013364999999998517,0.00047661963023359384
Scenario scaling f_v,Histogram overlap,0.0,0.0
Scenario scaling f_v,Q-Q RMSE,0.0,0.0
Scenario scaling f_v,Swath X,0.0,0.0
Scenario scaling f_v,Swath Y,0.0,0.0
Scenario scaling f_v,Swath Z,0.0,0.0
Scenario scaling f_v,Risk width at 3% cutoff,0.2,0.0713235511011817
